"Product","Price","Link"
"Alienware Aurora R7 LIQUID COOLED Intel Core i7-8700K 3.7GHz/2TB 7200RPM + 240GB Solid State Drive/32GB DDR4 SDRAM/Nvidia GeForce GTX 1080 8GB GDDR5X/1000W - Windows 10 Gaming Desktop","$3,925.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6NT7789&cm_re=alienware-_-9SIAC3J6NT7789-_-Product"
"Alienware Aurora R7 LIQUID COOLED Intel Core i7-8700K 3.7GHz/4TB 7200RPM + 240GB Solid State Drive/64GB DDR4 SDRAM/Nvidia GeForce GTX 1080 TI 11GB GDDR5X/1000W - Windows 10 Gaming Desktop","$4,550.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6NT7784&cm_re=alienware-_-9SIAC3J6NT7784-_-Product"
"Alienware Aurora R7 LIQUID COOLED Intel Core i7-8700K 3.7GHz/2TB 7200RPM + 500GB Solid State Drive/32GB DDR4 SDRAM/Nvidia GeForce GTX 1080 TI 11GB GDDR5X/1000W - Windows 10 Gaming Desktop","$4,150.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6NT7796&cm_re=alienware-_-9SIAC3J6NT7796-_-Product"
"Alienware Area 51 Intel Core i7-7800X Hexa-core (6 Core) 3.5GHz - 4TB 7200RPM + 500GB SSD - 64GB DDR4 SDRAM - 1X Nvidia GeForce GTX 1080 8GB GDDR5X - 850W - Windows 10 Gaming Desktop","$5,550.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6PT4529&cm_re=alienware-_-9SIAC3J6PT4529-_-Product"
"Alienware Area 51 Intel Core i7-7800X Hexa-core (6 Core) 3.5GHz - 4TB 7200RPM + 1TB SSD - 64GB DDR4 SDRAM - 1X Nvidia GeForce GTX 1080 8GB GDDR5X - 850W - Windows 10 Gaming Desktop","$5,750.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6PT4526&cm_re=alienware-_-9SIAC3J6PT4526-_-Product"
"Alienware Area 51 Intel Core i7-7800X Hexa-core (6 Core) 3.5GHz - 2TB 7200RPM + 2TB SSD - 32GB DDR4 SDRAM - 1X Nvidia GeForce GTX 1080 8GB GDDR5X - 850W - Windows 10 Gaming Desktop","$5,500.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6PT4533&cm_re=alienware-_-9SIAC3J6PT4533-_-Product"
"Alienware Area 51 Intel Core i7-7800X Hexa-core (6 Core) 3.5GHz - 4TB 7200RPM + 1TB SSD - 64GB DDR4 SDRAM - 1X Nvidia GeForce GTX 1070 TI 8GB GDDR5 - 850W - Windows 10 Gaming Desktop","$5,600.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J6PT4520&cm_re=alienware-_-9SIAC3J6PT4520-_-Product"
"Alienware Aurora R6 LIQUID COOLED Intel Core i7-7700K 4.2GHz/2TB 7200RPM + 240GB Solid State Drive/Nvidia GeForce GTX 1080 TI 11GB GDDR5X/32GB DDR4 SDRAM/1000W - Windows 10 Gaming Desktop","$4,000.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J5G35927&cm_re=alienware-_-9SIAC3J5G35927-_-Product"
"Alienware Aurora R6 LIQUID COOLED Intel Core i7-7700K 4.2GHz/2TB 7200RPM + 120GB Solid State Drive/Nvidia GeForce GTX 1080 TI 11GB GDDR5X/32GB DDR4 SDRAM/1000W - Windows 10 Gaming Desktop","$3,950.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J5G35928&cm_re=alienware-_-9SIAC3J5G35928-_-Product"
"Alienware Aurora R6 LIQUID COOLED Intel Core i7-7700K 4.2GHz/2TB 7200RPM + 1TB Solid State Drive/Nvidia GeForce GTX 1080 TI 11GB GDDR5X/32GB DDR4 SDRAM/1000W - Windows 10 Gaming Desktop","$4,250.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J5G35930&cm_re=alienware-_-9SIAC3J5G35930-_-Product"
"Alienware Aurora R6 Intel Core i7-7700K 4.2GHz/2TB 7200RPM - 64GB DDR4 SDRAM - 2X DUAL Nvidia GeForce GTX 1070 8GB GDDR5 SLI - 1000W - Windows 10 Gaming Desktop","$4,100.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC3J53Z1522&cm_re=alienware-_-9SIAC3J53Z1522-_-Product"
